grade,Total_Applications,Bad_Loan_Applications,Average_Interest_Rate,Average_DTI,Average_Annual_Income,Bad_Loan_Rate
A,9689,552,0.0735197130766849,0.12038256786046032,67533.99102384146,0.056971823717617914
B,11674,1343,0.11029087716292615,0.13432090971389413,68320.57755096797,0.11504197361658386
C,7904,1266,0.1354692181174089,0.1391512398785425,68482.65666244939,0.16017206477732793
D,5182,1072,0.15710540331918177,0.139807583944423,69092.80617715168,0.2068699343882671
E,2786,691,0.17705229720028715,0.14095294328786792,78328.37794328787,0.24802584350323043
F,1028,311,0.19744007782101167,0.14173774319066149,85115.68026264591,0.3025291828793774
G,313,98,0.2140063897763578,0.14059424920127794,94724.9377316294,0.31309904153354634
