grade,Applications,Funded_Amount,Amount_Received,Average_Interest_Rate,Average_DTI
A,9689,84252225,88051563,0.0735197130766849,0.12038256786046032
B,11674,130703975,140775015,0.11029087716292615,0.13432090971389413
C,7904,87456450,95973518,0.1354692181174089,0.1391512398785425
D,5182,63920800,70823891,0.15710540331918177,0.139807583944423
E,2786,44165100,49164151,0.17705229720028715,0.14095294328786792
F,1028,18910450,21016738,0.19744007782101167,0.14173774319066149
G,313,6348075,7266057,0.2140063897763578,0.14059424920127794
